学生番号	国語	数学	理科	英語	合計
	 0		  66	  59	  56	  70	 251
	 1		 100	 100	 100	 100	 400
	 2		  94	  90	  96	  68	 348
	 3		  75	  92	  85	  79	 331
	 4		  50	  66	  72	  64	 252
	 5		 100	 100	 100	 100	 400
	 6		  97	  92	  86	  81	 356
	 7		  79	  88	  88	  95	 350
	 8		  74	  74	  75	  78	 301
	 9		  75	  80	  92	  75	 322
	10		  63	  76	  77	  87	 303
	11		 100	  90	  99	  90	 379
	12		  75	  68	  67	  68	 278
	13		  71	  66	  69	  66	 272
	14		  80	  69	  73	  71	 293
	15		  97	  81	  98	  98	 374
	16		 100	 100	 100	 100	 400
	17		  92	 100	  94	  91	 377
	18		  68	  87	  73	  89	 317
	19		  94	 100	 100	  89	 383
	20		  25	  27	  26	  21	  99
	21		 100	 100	 100	 100	 400
	22		  31	  53	  32	  36	 152
	23		  85	  74	  72	  97	 328
	24		  79	  85	  81	  86	 331
	25		  72	  71	  63	  75	 281
	26		  84	  94	  87	  88	 353
	27		  60	  68	  72	  62	 262
	28		  70	  68	  62	  62	 262
	29		  70	  88	  86	  92	 336
	30		  64	  64	  69	  57	 254
	31		  73	  77	  51	  55	 256
	32		  71	  74	  80	  58	 283
	33		 100	  91	  79	  97	 367
	34		  69	  58	  72	  69	 268
	35		  19	  54	  35	  38	 146
	36		  37	  23	  34	  31	 125
	37		  63	  85	  71	  94	 313
	38		  73	  90	  71	  64	 298
	39		  48	  51	  50	  55	 204
	40		 100	 100	 100	  97	 397
	41		  85	  83	 100	  87	 355
平均		74.5	77.5	76.0	75.7	303.7
